"","GSM4861833","GSM4861834","GSM4861835","GSM4861836","GSM4861837","GSM4861838","GSM4861839","GSM4861840","GSM4861841","GSM4861842","GSM4861843","GSM4861844"
"RORC",7.435249024,7.330764343,7.920332614,7.23940467,7.655600552,7.824731435,6.498986159,6.760509196,6.810198678,7.151940519,7.341252017,6.813455444
"ARMH4",8.08488956275,8.002411477,8.19898820025,8.15955904475,8.0235860515,8.072590833,8.1050208265,8.04591161475,7.96172656225,8.144279416,8.05210311425,8.150854425
"TIMM9",11.34640945,11.22175574,10.81516308,11.21420785,11.11766154,11.04964593,11.94101616,11.71595736,11.66282279,11.45046001,11.49937193,11.35271639
"AL139021.1",11.729667475,11.85488274,11.86559685,11.97056155,11.83358348,11.6075551,11.81636586,12.04701293,12.27550608,12.2367874,12.226782845,12.21269789
"L3HYPDH",9.336913553,8.809341613,8.810323818,9.1089380595,9.0010419555,8.83432381,9.3463859035,9.233756332,8.744765767,9.0401242265,9.0664792145,9.029021463
"GPR135",7.723767686,7.412799416,6.940997336,7.428867769,7.334071551,7.35042065,8.301247067,7.976428414,7.84274388,7.200244103,7.339540009,7.152182466
"CCDC175",5.385661077,5.965191079,5.44080298,5.146807482,5.685958333,6.107010719,6.618962509,6.522324733,6.537337981,6.761511023,6.405208769,7.081622553
"C2CD4D",5.477650908,5.40648989,5.394820536,5.481509423,5.412684194,5.323490182,4.978808373,5.461105488,5.666608473,5.586359701,5.494212511,5.355149353
"RTN1",7.844764159,8.025198975,8.406763951,7.767043721,8.059147252,8.434630739,7.965113851,7.822782894,7.902834231,8.204631681,8.124979522,8.289186945
"C2CD4D-AS1",11.59789881,11.62367382,11.6939078,11.91493429,11.52680593,11.200415,11.13908952,11.80984184,11.7290724,12.56400924,12.82123069,12.67860476
"THEM5",11.59789881,11.62367382,11.6939078,11.91493429,11.52680593,11.200415,11.13908952,11.80984184,11.7290724,12.56400924,12.82123069,12.67860476
"DHRS7",14.28534228,13.98026541,14.36438844,14.53711637,14.17620404,13.90976119,14.18438272,14.4803891,14.4347435,14.38071941,14.2200824,14.58230257
"PCNX4",12.41200014,12.29442602,12.66631235,12.63286417,12.43718648,12.3306509,12.16611166,12.250946085,12.348123455,12.3272241,12.23999422,12.42134832
"C14orf39",5.2817508295,5.3436179475,5.0880525815,5.228474825,5.2288421565,5.1696782255,5.975592651,5.478909927,5.235723306,5.1428883825,5.21089322,5.0321118275
"SIX1",3.363571328,3.038702446,3.733501425,3.326556902,3.328435017,3.349283011,3.461639895,3.378392783,3.411132413,4.311390028,4.648282352,4.294071789
"SIX4",2.742426926,3.156032764,3.226871177,3.012832612,3.014806849,3.036721848,3.114435898,3.026928181,3.061343433,2.945229701,3.349106225,3.603159681
"AL160236.2",8.3194251445,8.0250586825,7.6943337825,7.9147116925,8.0634882445,8.132859329,8.325899138,8.1515032495,7.9251531255,7.957685208,7.8740592555,7.9039266115
"TRMT5",6.637587969,6.212023068,5.832876175,6.035337155,6.359494301,6.457986736,6.261264836,6.044896179,5.633081431,5.970797602,5.850616293,5.702321143
"THEM4",6.355224698,6.417749826,6.965514706,6.57524201,6.518848755,6.655342067,6.325764201,5.968753861,6.275534104,6.915341353,6.723696231,6.913837813
