"","turquoise_gene"
"1340","HLTF"
"1341","ADCK1"
"1342","BAZ1A"
"1343","AP3M1"
"1344","ZNF625-ZNF20"
"1345","SZT2"
"1346","PDZD4"
"1347","ZNF610"
"1348","TMEM171"
"1349","CD3G"
"1350","TP53AIP1"
"1351","HSDL1"
"1352","PRELP"
"1353","CCDC125"
"1354","MAK"
"1355","FNIP2"
"1356","ATP8B1"
"1357","AC027097.2"
"1358","AC027097.1"
"1359","LMAN2L"
"1360","ZMPSTE24"
"1361","DDC"
"1362","AGAP4"
"1363","MS4A5"
"1364","GPR39"
"1365","ANKRD20A4"
"1366","MLANA"
"1367","SHPRH"
"1368","UNKL"
"1369","STARD7"
"1370","BPI"
"1371","TRIM64C"
"1372","NKX2-1"
"1373","TEPP"
"1374","AL031963.1"
"1375","BPHL"
"1376","CLCA4-AS1"
"1377","CLCA4"
"1378","ITGA6"
"1379","AC078883.1"
"1380","NUDT18"
"1381","TRIM17"
"1382","CES4A"
"1383","SAMD9"
"1384","RASGRP1"
"1385","DCLRE1A"
"1386","TRPM7"
"1387","FAM219A"
"1388","RPA1"
"1389","ZNF439"
"1390","CD7"
"1391","GAL"
"1392","SLC6A2"
"1393","TMEM170B"
"1394","KLHDC7B"
"1395","DENND11"
"1396","TIMM29"
"1397","AC138035.1"
"1398","PAQR7"
"1399","AL033528.2"
"1400","TAS2R20"
"1401","DECR2"
"1402","RNF5"
"1403","STK11"
"1404","SLC38A2"
"1405","LINC01711"
"1406","BORA"
"1407","IL2RA"
"1408","PHKG1"
"1409","FKBP1B"
"1410","TRMT9B"
"1411","AL445524.2"
"1412","EGLN1"
"1413","SAMD15"
"1414","LAIR1"
"1415","LIPA"
"1416","STS"
"1417","SLC9A3R1"
"1418","NKX2-2-AS1"
"1419","NKX2-2"
"1420","GOLIM4"
"1421","NCK1-DT"
"1422","SLC35G2"
"1423","PCP4"
"1424","GSR"
"1425","PLXNA4"
"1426","SETDB1"
"1427","PPFIBP2"
"1428","MYRF"
"1429","PRICKLE1"
"1430","AC079601.1"
"1431","BATF"
"1432","ROBO3"
"1433","SOX8"
"1434","AC073343.2"
"1435","SLC4A3"
"1436","HJURP"
"1437","GAN"
"1438","CD8A"
"1439","TBX21"
"1440","UTP14A"
"1441","AL034405.1"
"1442","DTD2"
"1443","CD164"
"1444","NUBPL"
"1445","SPINT4"
"1446","IQGAP1"
"1447","SOCS5"
"1448","ZNF200"
"1449","MBLAC2"
"1450","DHRS13"
"1451","FICD"
"1452","NCBP3"
"1453","MAP9"
"1454","KCNS1"
"1455","TNR"
"1456","CCDC127"
"1457","PRSS35"
"1458","ZNF624"
"1459","PEX6"
"1460","LEAP2"
"1461","AC244258.1"
"1462","ABBA01000935.2"
"1463","PRIM2"
"1464","ARHGEF5"
"1465","NOMO1"
"1466","LPCAT3"
"1467","EMG1"
"1468","E2F6"
"1469","ATF7IP2"
"1470","VPREB3"
"1471","AL049569.2"
"1472","MFAP2"
"1473","EIF2B2"
"1474","AL049780.1"
"1475","ZNF585A"
"1476","TREH"
"1477","ART3"
"1478","RUNX3"
"1479","DBP"
"1480","ZSCAN2"
"1481","AC048382.5"
"1482","AL136295.5"
"1483","ENPP1"
"1484","FKBPL"
"1485","TTC30B"
"1486","KLHL2"
"1487","CSTL1"
"1488","METTL14"
"1489","CYP51A1-AS1"
"1490","AC000120.2"
"1491","LRRD1"
"1492","EIF4E3"
"1493","AC097634.4"
"1494","SMAD9"
"1495","CDK13"
"1496","ADAT2"
"1497","CCDC15"
"1498","TMEM128"
"1499","IGHD"
"1500","AP001615.1"
"1501","RIPK4"
"1502","MAPK1IP1L"
"1503","ZNF146"
"1504","CNN2"
"1505","MRPS27"
"1506","RAB12"
"1507","ZMYM4"
"1508","C8G"
"1509","MRPL30"
"1510","LSM11"
"1511","RBM14-RBM4"
"1512","CHRFAM7A"
"1513","CHST12"
"1514","TNPO3"
"1515","ARHGEF33"
"1516","ERICH4"
"1517","OCM"
"1518","RNF41"
"1519","SPRYD3"
"1520","PLEKHA6"
"1521","ZNF101"
"1522","RBL2"
"1523","NBPF19"
"1524","NBPF20"
"1525","RNF213"
"1526","ATG9B"
"1527","FBXO30"
"1528","TRANK1"
"1529","OTX1"
"1530","LRRC3"
"1531","NXT1"
"1532","CLCN7"
"1533","ATE1"
"1534","RAB2B"
"1535","IFT80"
"1536","ARFIP1"
"1537","AC008267.8"
"1538","LINC00174"
"1539","HYKK"
"1540","AARD"
"1541","MAGI3"
"1542","KLHL28"
"1543","YPEL1"
"1544","KYNU"
"1545","TNFRSF13B"
"1546","PCMTD2"
"1547","PPP2R2B"
"1548","AC008728.1"
"1549","ASTN2"
"1550","SAMD4B"
"1551","ZNF556"
"1552","EPG5"
"1553","AC025580.1"
"1554","C15orf48"
"1555","TDRP"
"1556","ZDHHC7"
"1557","ZBTB49"
"1558","PSMC3IP"
"1559","SLC17A3"
"1560","KIR2DL4"
"1561","MAFB"
"1562","GFI1B"
"1563","KCTD5"
"1564","MINDY2"
"1565","ERAS"
"1566","SLC35G5"
"1567","MORN3"
"1568","SNRNP70"
"1569","IVD"
"1570","AC117383.1"
"1571","PXYLP1"
"1572","MR1"
"1573","GBP4"
"1574","NRXN2"
"1575","C2orf27B"
"1576","ZNF181"
"1577","CYB561D1"
"1578","FGD1"
"1579","HAPLN4"
"1580","EXO5"
"1581","MAP11"
"1582","ZNF426"
"1583","GCNA"
"1584","NBPF15"
"1585","G3BP1"
"1586","SPRED2"
"1587","CDKN2A"
"1588","HECTD4"
"1589","TVP23C-CDRT4"
"1590","CDRT4"
"1591","FUT8"
"1592","ST8SIA6"
"1593","KIAA2026"
"1594","ERI2"
"1595","SGK2"
"1596","DAZ1"
"1597","DAZ4"
"1598","SOWAHC"
"1599","P3H2"
"1600","COPS7A"
"1601","RPGRIP1L"
"1602","ALG13"
"1603","SAR1A"
"1604","KIR3DX1"
"1605","AC009412.1"
"1606","FAM220A"
"1607","LTB4R2"
"1608","PLA2G4C"
"1609","FYN"
"1610","AC138907.3"
"1611","AC138869.2"
"1612","PIGT"
"1613","HP1BP3"
"1614","NDUFB9"
"1615","TMIGD2"
"1616","SPATA46"
"1617","BTN3A3"
"1618","ZW10"
"1619","ZNF25"
"1620","LYPD6"
"1621","IFNGR1"
"1622","NDST2"
"1623","WDR82"
"1624","KRTAP10-7"
"1625","OR5M11"
"1626","AZIN1"
"1627","POLR3D"
"1628","TMEM184B"
"1629","GRIFIN"
"1630","MAGEC3"
"1631","N4BP2L1"
"1632","TTF2"
"1633","POLR3E"
"1634","AC092338.3"
"1635","CEP63"
"1636","RESF1"
"1637","ZNF792"
"1638","LMBR1"
"1639","SPAG8"
"1640","NPR2"
"1641","DSCAS"
"1642","DSC1"
"1643","CASD1"
"1644","HINFP"
"1645","GPBAR1"
"1646","MUCL1"
"1647","NPDC1"
"1648","ZNF177"
"1649","ALX3"
"1650","GTSF1"
"1651","AL078612.1"
"1652","AL035078.4"
"1653","RCN1"
"1654","KCTD20"
"1655","OTUD7B"
"1656","DENND1C"
"1657","SH3PXD2A"
"1658","ATP1A2"
"1659","GON4L"
"1660","AC034206.1"
"1661","AL162253.2"
"1662","SLC26A4"
"1663","C16orf97"
"1664","ALG1L"
"1665","TIFA"
"1666","AGAP7P"
"1667","SCNM1"
"1668","RPUSD4"
"1669","SETD4"
"1670","GOLGA8K"
"1671","AC104117.3"
"1672","GRM6"
"1673","FSD1"
"1674","E2F4"
"1675","FAM71E1"
"1676","LGALS2"
"1677","PRKCA"
"1678","MGAT1"
"1679","FREM2"
"1680","SPOP"
"1681","PCGF6"
"1682","GCKR"
"1683","NEU1"
"1684","PSTPIP2"
"1685","NAAA"
"1686","TRIM60"
"1687","ANKRD30B"
"1688","SLC4A10"
"1689","CEP250"
"1690","RGPD4"
"1691","SIGIRR"
"1692","ILF3"
"1693","CCDC62"
"1694","CD1E"
"1695","FAM114A1"
"1696","MAGEA9"
"1697","ZNF585B"
"1698","MRFAP1L1"
"1699","ESRP2"
"1700","ZFC3H1"
"1701","ARHGEF1"
"1702","SLC16A10"
"1703","SPATA13"
"1704","AL359736.1"
"1705","F12"
"1706","POLI"
"1707","MEN1"
"1708","DPH3"
"1709","NT5C1B"
"1710","AC012309.2"
"1711","ZNF239"
"1712","AC010643.1"
"1713","DKKL1"
"1714","TMEM154"
"1715","ARHGEF6"
"1716","FOXC1"
"1717","OTOF"
"1718","KLHDC9"
"1719","RRP1"
"1720","TRAFD1"
"1721","IL18RAP"
"1722","HTRA3"
"1723","ALMS1"
"1724","SHISA6"
"1725","GSTA1"
"1726","SLC16A6"
"1727","TMCO6"
"1728","TAP1"
"1729","PPM1L"
"1730","AL596223.2"
"1731","HKDC1"
"1732","NR4A1"
"1733","CNOT11"
"1734","ZNF440"
"1735","C22orf23"
"1736","RAB11FIP3"
"1737","IFT140"
"1738","KMT2C"
"1739","PLN"
"1740","IGFBP3"
"1741","AC005225.2"
"1742","KIF5C"
"1743","KPNB1"
"1744","SEMA5B"
"1745","RFESD"
"1746","SPATA9"
"1747","SMG5"
"1748","HTR6"
"1749","AL353579.1"
"1750","TMEM217"
"1751","MTERF2"
"1752","AC119427.2"
"1753","SPINK5"
"1754","RBM14"
"1755","RPL7L1"
"1756","TRIB1"
"1757","S1PR3"
"1758","ICE1"
"1759","AC092802.2"
"1760","RWDD3"
"1761","NET1"
"1762","GFOD1"
"1763","HDHD3"
"1764","DBT"
"1765","DNAAF2"
"1766","PKIB"
"1767","AL512283.3"
"1768","SLC29A1"
"1769","SYN1"
"1770","FAM86C1"
"1771","JUNB"
"1772","CDK2AP2"
"1773","ACTR3B"
"1774","CAMK1"
"1775","SNUPN"
"1776","NIP7"
"1777","HES6"
"1778","OLFM2"
"1779","CCNO"
"1780","EARS2"
"1781","WDR20"
"1782","ABLIM1"
"1783","CDKL2"
"1784","EED"
"1785","SLC39A14"
"1786","CTDSPL2"
"1787","OLFM1"
"1788","AP001042.1"
"1789","ETS2"
"1790","TRIM42"
"1791","OR2T4"
"1792","ZAN"
"1793","KRT73-AS1"
"1794","KRT73"
"1795","MAL2-AS1"
"1796","MAL2"
"1797","CENPQ"
"1798","ARSD"
"1799","SLC16A3"
"1800","HDX"
"1801","POMT1"
"1802","ZNF410"
"1803","TTC41P"
"1804","FAM156B"
"1805","FAM156A"
"1806","LAMP3"
"1807","BCL10"
"1808","GINS3"
"1809","ADAT1"
"1810","TTC22"
"1811","GSK3B"
"1812","AC053513.1"
"1813","C2CD5"
"1814","FAHD2CP"
"1815","GPAT2"
"1816","RGS4"
"1817","SHOC1"
"1818","ARHGAP32"
"1819","PRMT2"
"1820","SCAND1"
"1821","CDK8"
"1822","TGDS"
"1823","C1QB"
"1824","MAS1"
"1825","CP"
"1826","HPS3"
"1827","ANGPTL6"
"1828","METRN"
"1829","C1orf143"
"1830","PUS1"
"1831","GOLGA8O"
"1832","AKR1C1"
"1833","ELL"
"1834","SENP8"
"1835","EFNA5"
"1836","CTBP2"
"1837","MFSD8"
"1838","SCAF8"
"1839","CANT1"
"1840","KLKB1"
"1841","H2BFWT"
"1842","C8orf17"
"1843","SUCNR1"
"1844","CSNK1G2"
"1845","IPO7"
"1846","KIF21B"
"1847","CCDC137"
"1848","IL17RB"
"1849","NHLRC2"
"1850","PHTF2"
"1851","C12orf4"
"1852","OR10A2"
"1853","APEX1"
"1854","DYNC1I1"
"1855","AC079341.1"
"1856","RBM5"
"1857","AC097641.1"
"1858","SSTR2"
"1859","DDX60"
"1860","PPP4C"
"1861","PHF12"
"1862","ANKHD1"
"1863","SPATA31A6"
"1864","TAS2R19"
"1865","CHMP7"
"1866","TAF5"
"1867","MORF4L1"
"1868","SLAIN1"
"1869","SLC2A3"
"1870","PIGB"
"1871","TMEM39B"
"1872","GTF2IRD2B"
"1873","MYO7A"
"1874","TNFRSF11B"
"1875","GMNN"
"1876","LTBP2"
"1877","ZNF428"
"1878","GBP1"
"1879","TRBV7-7"
"1880","WDR37"
"1881","AL133353.2"
"1882","SURF6"
"1883","PRMT3"
"1884","KPNA1"
"1885","AC083798.2"
"1886","EPS15"
"1887","GRHPR"
"1888","NHEJ1"
"1889","GBP2"
"1890","MTF1"
"1891","DSN1"
"1892","GSG1"
"1893","BANK1"
"1894","HELB"
"1895","SLC35F5"
"1896","ADRA2B"
"1897","LRRN4"
"1898","MPHOSPH8"
"1899","ELMOD3"
"1900","PBX2"
"1901","RAD21L1"
"1902","TGFB2"
"1903","MMD"
"1904","P2RY2"
"1905","ADGRG1"
"1906","CCDC71"
"1907","IPMK"
"1908","C19orf12"
"1909","ZNF781"
"1910","GGA3"
"1911","AIF1L"
"1912","PSKH2"
"1913","TMEM266"
"1914","PDGFC"
"1915","HDAC1"
"1916","PPP1R1C"
"1917","MORC2-AS1"
"1918","MORC2"
"1919","LRP11"
"1920","C1orf87"
"1921","ZKSCAN2"
"1922","TRIM32"
"1923","AGL"
"1924","BHLHA9"
"1925","DOK2"
"1926","HOXB6"
"1927","LEXM"
"1928","MOK"
"1929","AP1AR"
"1930","SHD"
"1931","CYP26A1"
"1932","CCDC153"
"1933","PICALM"
"1934","LINC00683"
"1935","C15orf65"
"1936","DHRS1"
"1937","AL096870.8"
"1938","CWC25"
"1939","DEF6"
"1940","PCCA"
"1941","CTNS"
"1942","MKS1"
"1943","PROCR"
"1944","LMO7DN"
"1945","TBC1D32"
"1946","ST6GALNAC3"
"1947","ELP1"
"1948","TTBK2"
"1949","MRPL17"
"1950","ANGPTL7"
"1951","KLLN"
"1952","TAF1"
"1953","R3HDM2"
"1954","FN3KRP"
"1955","ZNF565"
"1956","H1F0"
"1957","C12orf56"
"1958","AC012158.1"
"1959","NVL"
"1960","ZNF592"
"1961","SP3"
"1962","PGBD4"
"1963","PPEF2"
"1964","CUTC"
"1965","BECN1"
"1966","TMEM203"
"1967","DTWD2"
"1968","TCEANC2"
"1969","C5orf51"
"1970","ARGLU1"
"1971","TRIM23"
"1972","PFDN4"
"1973","VPS41"
"1974","TRO"
"1975","RAP2B"
"1976","ACMSD"
"1977","CCNT2-AS1"
"1978","MAPRE2"
"1979","NDC1"
"1980","CAPN11"
"1981","PLEKHA2"
"1982","GREB1"
"1983","MON2"
"1984","AL035458.2"
"1985","ASIP"
"1986","TP53I3"
"1987","MRPS18B"
"1988","BBS2"
"1989","BTAF1"
"1990","FAM110C"
"1991","GPR82"
"1992","GNAS"
"1993","GDI1"
"1994","ZNF302"
"1995","AP4E1"
"1996","CIB2"
"1997","EPM2A"
"1998","FAM120AOS"
"1999","NEFH"
"2000","IARS"
"2001","ATL3"
"2002","CEP126"
"2003","OR1I1"
"2004","SLC3A1"
"2005","PIK3C2A"
"2006","OTX2"
"2007","TTC26"
"2008","ZNF141"
"2009","AC011477.7"
"2010","C12orf65"
"2011","UPK3BL1"
"2012","MAP3K20-AS1"
"2013","IL27RA"
"2014","FAM204A"
"2015","LAPTM4B"
"2016","NRP1"
"2017","ARL6IP1"
"2018","PHOSPHO1"
"2019","SHLD2"
"2020","SYNGR4"
"2021","ANKIB1"
"2022","SETD5"
"2023","GGCX"
"2024","TRIM65"
"2025","SEPTIN8"
"2026","AC116353.5"
"2027","SLC35A4"
"2028","STX1B"
"2029","RAP1B"
"2030","DNAH6"
"2031","SLC39A10"
"2032","SMU1"
"2033","SLC25A29"
"2034","AL157871.1"
"2035","GDI2"
"2036","ORAI1"
"2037","SLC25A43"
"2038","PREP"
"2039","DNTT"
"2040","OR14C36"
"2041","PDHB"
"2042","CETN3"
"2043","BTN3A2"
"2044","PROB1"
"2045","GTF2H1"
"2046","PAX7"
"2047","ATOH7"
"2048","AC015795.1"
"2049","FAM117A"
"2050","AC087521.2"
"2051","HSD17B12"
"2052","FHL1"
"2053","HDAC9"
"2054","RBM43"
"2055","RGS7"
"2056","KRTAP19-7"
"2057","CNTNAP3"
"2058","PDCD7"
"2059","KIF1C"
"2060","SERPINB8"
"2061","LRP5"
"2062","APOA2"
"2063","RWDD1"
"2064","XKR6"
"2065","ZCCHC9"
"2066","SMIM3"
"2067","EPM2AIP1"
"2068","SMIM7"
"2069","ZNF19"
"2070","ZNF286B"
"2071","NAPEPLD"
"2072","SLC2A1"
"2073","ADNP"
"2074","CBWD6"
"2075","H3F3B"
"2076","ZNF816-ZNF321P"
"2077","FAM78B"
"2078","TPST1"
"2079","SAMD5"
"2080","PIP5K1A"
"2081","POLE"
"2082","ZNF778"
"2083","PIDD1"
"2084","PLXNB2"
"2085","SLC39A5"
"2086","LMLN2"
"2087","TMEM108"
"2088","TGFBR2"
"2089","IFT22"
"2090","AC073655.2"
"2091","OR2S1P"
"2092","ASB9"
"2093","IGSF9B"
"2094","ZNF451-AS1"
"2095","ZNF451"
"2096","SMR3A"
"2097","PODXL"
"2098","LARS2"
"2099","DZIP1L"
"2100","AC122707.1"
"2101","RINL"
"2102","RAB7A"
"2103","CUL1"
"2104","SMIM8"
"2105","ANKRD24"
"2106","GALNT6"
"2107","NUP58"
"2108","AC091551.1"
"2109","ELAC1"
"2110","MAX"
"2111","OSBPL6"
"2112","CASP3"
"2113","PTBP3"
"2114","POLR1C"
"2115","C1QA"
"2116","EXOSC2"
"2117","GDAP1"
"2118","LTN1"
"2119","GOLGA8R"
"2120","SCN4A"
"2121","MTAP"
"2122","FAM110D"
"2123","ING4"
"2124","CLK2"
"2125","AC104129.1"
"2126","AC008982.1"
"2127","SVOPL"
"2128","KIAA0753"
"2129","PLPP1"
"2130","NBEAL1"
"2131","ASPH"
"2132","DENND5A"
"2133","SLU7"
"2134","KCNJ16"
"2135","VPS50"
"2136","SLC43A3"
"2137","MKRN2"
"2138","RAB40C"
"2139","GRM1"
"2140","GJA10"
"2141","CAPS2"
"2142","AC068547.1"
"2143","ARPC1A"
"2144","ALDH3B1"
"2145","AC010273.2"
"2146","SLC30A5"
"2147","SPDYE5"
"2148","WASF2"
"2149","WFIKKN1"
"2150","MDN1"
"2151","FAM199X"
"2152","HEATR3"
"2153","PNPT1"
"2154","CHSY1"
"2155","CYREN"
"2156","ZNF569"
"2157","OPN1MW"
"2158","UBE2QL1"
"2159","SCAMP5"
"2160","AC011466.1"
"2161","CARD8"
"2162","LMO7"
"2163","ZKSCAN3"
"2164","HENMT1"
"2165","BLNK"
"2166","TBC1D3H"
"2167","CIART"
"2168","CAMSAP2"
"2169","SEC16A"
"2170","BCR"
"2171","BDNF-AS"
"2172","BDNF"
"2173","AC007098.1"
"2174","EHBP1"
"2175","TNFRSF1B"
"2176","SEC61G"
"2177","TTC24"
"2178","CNNM3"
"2179","CENPW"
"2180","ADK"
"2181","SMG1"
"2182","TYMP"
"2183","KCNMB2"
"2184","KCNMB2-AS1"
"2185","AC117457.1"
"2186","KLHL9"
"2187","MACC1"
"2188","KIF16B"
"2189","NPC1"
"2190","RNF212"
"2191","IFI16"
"2192","AC002463.1"
"2193","TIAM2"
"2194","AL596202.1"
"2195","SRP68"
"2196","KLHDC1"
"2197","SNAPC5"
"2198","ZNF350-AS1"
"2199","KIAA1958"
"2200","FAM78A"
"2201","RTCB"
"2202","GPR161"
"2203","ZSCAN32"
"2204","TUBD1"
"2205","C6orf47"
"2206","C6orf47-AS1"
"2207","EVI5L"
"2208","SPRY4"
"2209","GAPVD1"
"2210","AC022101.1"
"2211","SNCAIP"
"2212","XAF1"
"2213","FEZF1-AS1"
"2214","FEZF1"
"2215","HIST1H4H"
"2216","CENPI"
"2217","FCRL2"
"2218","PAFAH2"
"2219","SPI1"
"2220","POMK"
"2221","TOR1B"
"2222","NFATC3"
"2223","GRK4"
"2224","FABP5"
"2225","DCAF10"
"2226","C6orf62"
"2227","AC060234.2"
"2228","PANK2"
"2229","OR7G2"
"2230","CCDC170"
"2231","ZFP82"
"2232","AL049651.2"
"2233","SSTR4"
"2234","RELCH"
"2235","AP003068.2"
"2236","RHOD"
"2237","MYOZ3"
"2238","MYCBPAP"
"2239","AC021491.2"
"2240","DFFA"
"2241","ATP2B4"
"2242","AC048382.2"
"2243","IFNAR2"
"2244","TRAV9-2"
"2245","CRNKL1"
"2246","MIGA1"
"2247","EXOC4"
"2248","SIGLEC1"
"2249","RNASE3"
"2250","KLHL31"
"2251","GOLGA8M"
"2252","FOSL2"
"2253","PLEKHG3"
"2254","DNAL4"
"2255","GCNT1"
"2256","FOXN3"
"2257","FMNL1"
"2258","AC008105.2"
"2259","SECTM1"
"2260","MFSD2B"
"2261","MTG1"
"2262","TNKS1BP1"
"2263","TMEM135"
"2264","TRIB2"
"2265","ROR1-AS1"
"2266","ROR1"
"2267","MAFF"
"2268","LZTFL1"
"2269","EAPP"
"2270","RABL3"
"2271","AC013489.1"
"2272","RAD51AP1"
"2273","RAB11FIP2"
"2274","CLDN20"
"2275","STK31"
"2276","RAB40B"
"2277","PLAT"
"2278","JMJD6"
"2279","DEGS1"
"2280","TEX2"
"2281","EBP"
"2282","AF196969.1"
"2283","JARID2"
"2284","AC008894.3"
"2285","TPM4"
"2286","APH1B"
"2287","VPS13B"
"2288","ZNF397"
"2289","TP53TG3F"
"2290","AC141257.2"
"2291","TP53TG3E"
"2292","TP53TG3"
"2293","TP53TG3B"
"2294","SLC4A4"
"2295","AL121845.2"
"2296","DAZAP1"
"2297","MYO1F"
"2298","ZFP30"
"2299","IGF2R"
"2300","RECQL"
"2301","CDK4"
"2302","FAM234B"
"2303","BCO2"
"2304","PAPSS2"
"2305","NT5C2"
"2306","MINDY4B"
"2307","OR2W3"
"2308","ZNF598"
"2309","ATP10D"
"2310","FNDC4"
"2311","NAA16"
"2312","ZNF552"
"2313","ACTR3C"
"2314","TMEM211"
"2315","HOXD13"
"2316","AC006329.1"
"2317","AKAP6"
"2318","KRI1"
"2319","IPCEF1"
"2320","AC018521.4"
"2321","CDK5RAP3"
"2322","CRLF2"
"2323","POGK"
"2324","METTL18"
"2325","TIMM21"
"2326","ACY3"
"2327","COL8A2"
"2328","HTR4"
"2329","SLC33A1"
"2330","KLK5"
"2331","NOM1"
"2332","CCND3"
"2333","FAM163A"
"2334","RBFOX2"
"2335","EDNRB"
"2336","TSR1"
"2337","AC007092.1"
"2338","LINC01122"
"2339","REL"
"2340","CD86"
"2341","TADA2A"
"2342","MGME1"
"2343","BOLA1"
"2344","CCDC102A"
"2345","KIDINS220"
"2346","KCND3"
"2347","AC007285.1"
"2348","FKBP14"
"2349","SYNE2"
"2350","TCEAL5"
"2351","FANCF"
"2352","ZNF140"
"2353","SMG8"
"2354","SYTL1"
"2355","SFT2D3"
"2356","MAN1C1"
"2357","SOGA3"
"2358","HOXD1"
"2359","HACL1"
"2360","COPA"
"2361","CAVIN3"
"2362","APOBEC3C"
"2363","GGT6"
"2364","PLEK"
"2365","N4BP2L2"
"2366","NTSR1"
"2367","PMM2"
"2368","RABGEF1"
"2369","SERINC1"
"2370","TMPRSS13"
"2371","RHPN2"
"2372","SMG1P6"
"2373","MRVI1"
"2374","AC117498.1"
"2375","ADCY6"
"2376","HTD2"
"2377","RPP14"
"2378","OFCC1"
"2379","SEC24C"
"2380","SALL3"
"2381","NSF"
"2382","GTF2E1"
"2383","AL109811.3"
"2384","ZBTB42"
"2385","IL1RL1"
"2386","LUC7L3"
"2387","CD164L2"
"2388","DNLZ"
"2389","PPIG"
"2390","CYP1A1"
"2391","TRMT2B"
"2392","COA6"
"2393","AC022215.2"
"2394","REEP4"
"2395","PPP1R15B"
"2396","AC010307.2"
"2397","FSTL4"
"2398","FAM162A"
"2399","SOBP"
"2400","TPH1"
"2401","PRDM8"
"2402","FAM170B"
"2403","FAM170B-AS1"
"2404","ARFGAP1"
"2405","MARCH2"
"2406","AC092979.1"
"2407","NFKBID"
"2408","SGMS2"
"2409","CNOT4"
"2410","ANLN"
"2411","PRSS23"
"2412","SLC2A11"
"2413","BMP8B"
"2414","TTC9"
"2415","OGFOD1"
"2416","LGALS14"
"2417","WDR76"
"2418","AC009403.2"
"2419","AC091304.1"
"2420","GOLGA8Q"
"2421","ARL4C"
"2422","PRSS27"
"2423","FOXJ2"
"2424","ADO"
"2425","CD96"
"2426","PAXBP1-AS1"
"2427","PAXBP1"
"2428","ITPRID1"
"2429","TIMP1"
"2430","OR13J1"
"2431","ZNF589"
"2432","LCN2"
"2433","NUPR1"
"2434","CORO1A"
"2435","C9orf106"
"2436","ARHGAP27"
"2437","AC243919.2"
"2438","NCKAP1L"
"2439","GPR52"
"2440","HOXA6"
"2441","C9orf147"
"2442","PPP2R5C"
"2443","C2orf27A"
"2444","ZNF195"
"2445","LANCL3"
"2446","SMG1P7"
"2447","SMG1P3"
"2448","SMG1P4"
"2449","SETDB2"
"2450","DSG3"
"2451","AC241377.2"
"2452","CELSR3"
"2453","ASH2L"
"2454","TMEM86A"
"2455","KLHL18"
"2456","ICK"
"2457","PWP2"
"2458","FP565260.1"
"2459","SLC36A2"
"2460","PIK3R5"
"2461","CARF"
"2462","SLC2A8"
"2463","PPP1R17"
"2464","TUBGCP3"
"2465","SMIM10L1"
"2466","FO681492.1"
"2467","SYT15"
"2468","AL356056.2"
"2469","SEPTIN3"
"2470","MTRNR2L8"
"2471","CCER2"
"2472","MKRN3"
"2473","ELMSAN1"
"2474","LEFTY1"
"2475","TLCD4"
"2476","LY6E"
"2477","SLC4A5"
"2478","AL133227.1"
"2479","ELMO2"
"2480","MIB1"
"2481","CTCF"
"2482","PRXL2A"
"2483","TBC1D3D"
"2484","TBC1D3"
"2485","TBC1D3C"
"2486","MEGF8"
"2487","SFTPB"
"2488","AC091060.1"
"2489","C18orf21"
"2490","ZNF180"
"2491","LELP1"
"2492","MIS12"
"2493","HORMAD1"
"2494","DDHD1"
"2495","LRRFIP2"
"2496","TMX1"
"2497","MAP3K7CL"
"2498","SHCBP1"
"2499","ZSWIM1"
"2500","TRIT1"
"2501","BICRAL"
"2502","AC063944.1"
"2503","CCDC54"
"2504","IQCK"
"2505","FO082796.2"
"2506","AL672310.1"
"2507","FBXL2"
"2508","MOB3C"
"2509","FAM217B"
"2510","GPR26"
"2511","TYSND1"
"2512","ZNF785"
"2513","AC002310.2"
"2514","RASL11A"
"2515","RAVER2"
"2516","LYN"
"2517","MAD2L1"
"2518","RYBP"
"2519","SLC19A1"
"2520","ZFP69B"
"2521","USP9X"
"2522","DGLUCY"
"2523","OSGEPL1"
"2524","TPRG1L"
"2525","ATF1"
"2526","TRBV29-1"
"2527","ZNF584"
"2528","CXXC1"
"2529","NAPB"
"2530","HSPB2"
"2531","TMEM63A"
"2532","AP000892.4"
"2533","PCSK7"
"2534","TMEM51"
"2535","KHDRBS1"
"2536","EXOSC4"
"2537","TMEM204"
"2538","CSTF1"
"2539","POLH"
"2540","ABHD12B"
"2541","DOHH"
"2542","SLC25A15"
"2543","TLE5"
"2544","MAF"
"2545","PRR3"
"2546","NUP62CL"
"2547","ARG1"
"2548","SCGB1C1"
"2549","CENPU"
"2550","CBLN1"
"2551","UBE2J1"
"2552","CES2"
"2553","AC009084.1"
"2554","PPTC7"
"2555","ACSM1"
"2556","NME6"
"2557","TRMU"
"2558","FBXO6"
"2559","MRAP2"
"2560","RBBP4"
"2561","GSK3A"
"2562","LIN7C"
"2563","SLC25A22"
"2564","RBMS1"
"2565","AL732372.2"
"2566","DSP"
"2567","CHIA"
"2568","AL356387.1"
"2569","GPATCH3"
"2570","TCF25"
"2571","WFDC3"
"2572","DPYSL4"
"2573","URB2"
"2574","PGAM5"
"2575","SH3RF2"
"2576","ADA"
"2577","PNOC"
"2578","PROCA1"
"2579","CELA3A"
"2580","CHRNG"
"2581","CBX8"
"2582","FOCAD"
"2583","AP005436.2"
"2584","RAB38"
"2585","ZNF234"
"2586","LUC7L2"
"2587","FMC1-LUC7L2"
"2588","CLUAP1"
"2589","C1orf56"
"2590","STT3A"
"2591","ATXN3"
