"","turquoise_gene"
"314","TP53TG3D"
"315","FNIP1"
"316","FOS"
"317","PXMP4"
"318","CASP8"
"319","ZNF596"
"320","OR5AL1"
"321","CASP10"
"322","CCDC149"
"323","FAM53C"
"324","CHRNA10"
"325","FTCDNL1"
"326","UGT2B7"
"327","PACSIN1"
"328","NFIA"
"329","EHHADH"
"330","EHHADH-AS1"
"331","GIMAP1-GIMAP5"
"332","SLFN5"
"333","CXCL11"
"334","RANBP17"
"335","ADORA3"
"336","LINC00910"
"337","DCUN1D3"
"338","MYCL"
"339","ZNF670"
"340","PLA2G10"
"341","TOM1L1"
"342","STAT1"
"343","MED11"
"344","AZIN1-AS1"
"345","ANTXR1"
"346","ZNF225"
"347","ZNF347"
"348","AL139339.1"
"349","CALHM1"
"350","ZNF227"
"351","EAF2"
"352","BCL2L13"
"353","BCL2L14"
"354","CD200R1L"
"355","TMEM99"
"356","ZNF625"
"357","RMI1"
"358","CLDN19"
"359","PTPRR"
"360","AXIN2"
"361","IDO2"
"362","AC002451.1"
"363","PDK4"
"364","KLF10"
"365","ARPIN"
"366","UCHL1"
"367","PLXNA2"
"368","KCTD6"
"369","DEFB119"
"370","MYRFL"
"371","AC025159.1"
"372","DPY19L2"
"373","SORT1"
"374","SACM1L"
"375","FKBP5"
"376","MPZL3"
"377","TAF7L"
"378","C16orf58"
"379","ZNF516"
"380","GPR1"
"381","AC010210.1"
"382","NEK11"
"383","HNF1A"
"384","SPRED1"
"385","RNF34"
"386","USP44"
"387","TRIM22"
"388","GRAP"
"389","ZNF613"
"390","B4GALT4"
"391","TBCCD1"
"392","AC008892.1"
"393","ANKRD55"
"394","CCDC63"
"395","LYNX1-SLURP2"
"396","LYNX1"
"397","PRKACB"
"398","BX664727.3"
"399","ANKRD29"
"400","ZSCAN21"
"401","AC116348.4"
"402","ARHGAP25"
"403","AC113189.1"
"404","TMEM102"
"405","SLFN11"
"406","ERG"
"407","CDC42EP2"
"408","GZMH"
"409","CD300C"
"410","AL021707.2"
"411","CBY1"
"412","CD1B"
"413","VCPIP1"
"414","HIST2H2AA3"
"415","HIST2H2AA4"
"416","CCR5AS"
"417","CCR5"
"418","GOLGA8UP"
"419","AC135983.1"
"420","FAM218A"
"421","ALDH1B1"
"422","ACOT4"
"423","ATP2A1"
"424","GRAMD2B"
"425","AC093535.1"
"426","DLGAP1"
"427","SSH2"
"428","IFI6"
"429","ZNF566"
"430","JAKMIP1"
"431","EOMES"
"432","CACNB4"
"433","MANEA"
"434","XAGE1A"
"435","CLEC4F"
"436","COL24A1"
"437","CAPN12"
"438","ERAP2"
"439","PGF"
"440","CADM2"
"441","FAM217A"
"442","AL136018.1"
"443","RUBCNL"
"444","FCGR3A"
"445","FOSL1"
"446","AC003005.1"
"447","CLIC5"
"448","TPTE2"
"449","THSD4"
"450","SIAH3"
"451","PANX2"
"452","CD40LG"
"453","DLEC1"
"454","ATP6AP1L"
"455","RNF145"
"456","SCNN1A"
"457","C2CD2"
"458","APOL4"
"459","BBS12"
"460","CA5B"
"461","CMTM1"
"462","DEFA1B"
"463","DEFA1"
"464","DEFA3"
"465","CYP2R1"
"466","OR2T27"
"467","BTBD19"
"468","GSTM3"
"469","NAB2"
"470","NEK7"
"471","ENPP5"
"472","NUFIP1"
"473","PLPP6"
"474","ADCY7"
"475","GRK2"
"476","ATP5F1EP2"
"477","NLRP3"
"478","PYHIN1"
"479","KLF14"
"480","SLC6A20"
"481","CD19"
"482","TRIM51"
"483","IL23R"
"484","SERPINF1"
"485","CXorf40A"
"486","RPS6KA4"
"487","ZAR1"
"488","CLECL1"
"489","SERPING1"
"490","ZNF217"
"491","TIPARP"
"492","TFAP2A"
"493","SESTD1"
"494","PAK1"
"495","INPP5A"
"496","AC008894.2"
"497","RAB8A"
"498","HMGXB4"
"499","WTAP"
"500","QSER1"
"501","CHM"
"502","AC010636.2"
"503","ZNF626"
"504","ALX1"
"505","SLC10A7"
"506","PRPF3"
"507","CLEC4O"
"508","BOD1"
"509","RNF32"
"510","PURB"
"511","AC000120.1"
"512","KRIT1"
"513","SMAD4"
"514","FBN1"
"515","LIG4"
"516","TGM1"
"517","ZNF250"
"518","ZNF276"
"519","POLR1B"
"520","SLC25A20"
"521","NR1H4"
"522","AC135178.4"
"523","AC135178.3"
"524","FN1"
"525","FAM170A"
"526","COX15"
"527","CYP2F1"
"528","AC246680.1"
"529","AC244453.1"
"530","PPM1D"
"531","CEP76"
"532","TIGD3"
"533","FMR1"
"534","SART3"
"535","ATXN3L"
"536","AC004674.1"
"537","GSTA5"
"538","CEACAM8"
"539","EXD2"
"540","NUP43"
"541","ENPP7"
"542","ST8SIA5"
"543","CUZD1"
"544","SCML2"
"545","PDZD2"
"546","ELOVL6"
"547","MCF2L2"
"548","LIMS3"
"549","AC112229.3"
"550","AC013271.1"
"551","LIMS4"
"552","TMEM184C"
"553","GIMAP1"
"554","CSNK1D"
"555","ARMC1"
