ID,GSM4861833,GSM4861834,GSM4861835,GSM4861836,GSM4861837,GSM4861838,GSM4861839,GSM4861840,GSM4861841,GSM4861842,GSM4861843,GSM4861844
ASHGV40000042,10.0242046,9.775894839,9.585202149,9.844483461,9.811510533,9.716184459,10.94959852,10.53931218,9.540761831,9.885782145,9.914166936,9.837250288
ASHGV40000043,2.677521233,2.67244328,2.671469201,2.673335647,2.675176526,2.695611176,2.762753555,2.681156943,2.71324746,2.604977155,2.609587941,2.615598544
ASHGV40000044,7.33343888,7.405884943,7.679785817,7.487953805,7.512005314,7.364029091,7.992700222,8.096358208,8.39488457,8.324448169,8.377433714,8.232464137
ASHGV40000045,5.657441783,5.837473036,6.041520634,6.011673495,5.59770801,5.959061286,6.097359706,6.016441276,5.757793747,6.117903423,6.006193793,6.078426239
ASHGV40000046,5.271620538,5.994721521,6.041666054,6.111820452,5.867235874,5.448740109,5.635850581,5.030257689,4.698860654,4.868056783,4.493532251,5.383326911
ASHGV40000047,4.267093477,4.285447463,4.572685411,4.325594198,4.210867355,4.558154881,3.069785823,4.282780287,3.020160367,4.954121713,5.262212452,4.841501526
ASHGV40000048,3.011791738,2.889215341,3.029743192,2.705393464,2.707239274,3.534575864,2.807155298,3.408275714,2.757516592,3.257916654,3.230809112,3.149086533
ASHGV40000050,4.509978885,4.772341829,4.889081545,4.705479609,4.811111148,4.677683695,4.91475001,4.820560223,4.399652492,5.169553622,4.913996863,5.026053292
ASHGV40000051,2.662746032,2.737758624,2.736011967,2.709143612,2.711024673,2.731905373,2.800880505,2.717502798,2.750293789,2.639660154,2.644371585,2.650513387
ASHGV40000052,6.822689746,7.105164885,6.472689283,6.832713383,6.855674831,6.722508015,8.50202855,7.888062126,7.218809567,7.252750594,6.929967204,6.694707717
ASHGV40000053,10.19541479,10.39329189,10.56416903,10.32206799,10.39229003,10.53139234,9.720306293,9.762159521,9.353006212,9.529717933,9.296151212,9.627269536
ASHGV40000054,6.558845253,5.892743074,5.276311421,5.747722287,5.927406848,6.032715263,6.897636846,6.30576427,5.453846116,6.505572345,6.258344901,6.332745817
ASHGV40000055,4.642473117,4.397104103,4.798534771,4.100647512,4.759269532,5.013340079,4.429898867,3.468655466,3.459024761,4.737845972,4.372415341,4.648083637
ASHGV40000056,13.7846497,13.63446436,13.66238227,13.75348954,13.68231578,13.67678818,13.88453337,13.77695334,13.848314,13.5170809,13.54128668,13.63683471
ASHGV40000057,3.062842323,3.03486694,3.00347883,2.761341134,3.553057095,2.783642227,2.894071828,3.420922371,2.84450892,3.15417947,3.50276943,5.160467494
ASHGV40000059,8.297259693,8.32336632,8.417666951,8.331892116,8.373890169,8.361800625,8.033799629,8.031745039,8.259858635,7.864924982,7.811078133,8.170816904
ASHGV40000061,6.484745873,6.296477854,5.821686582,5.957334376,6.242308158,6.507220235,6.254241635,5.99290497,5.895222648,5.258664506,5.083432053,5.359466326
ASHGV40000062,3.688467352,3.884708115,3.884080551,3.91882495,3.641462132,3.966537433,2.578058487,2.49624209,3.738325283,3.412286183,2.990927393,3.739636993
ASHGV40000063,3.122914337,3.150418053,3.19450163,3.121999015,3.123847493,3.144366507,3.211855523,3.129922044,3.162145045,3.053427752,3.058057574,3.064092992
ASHGV40000064,3.849559293,3.940999944,4.687020647,4.354387948,4.051835417,4.125163327,3.72981697,4.227806227,4.38326858,4.07370268,3.908476265,4.173006562
ASHGV40000065,6.449615305,6.30204631,5.822897865,6.061874584,6.270233203,6.248013254,6.143761176,6.113900249,6.113511352,5.932514616,5.953809106,6.032106983
ASHGV40000066,2.887205267,3.084884598,3.292593233,3.057408526,3.059304763,3.080353919,3.163704765,3.079654403,3.112709937,3.51630153,3.698945531,3.012124551
ASHGV40000067,9.383478034,9.507336939,9.725300889,9.857491166,9.282278607,9.137362784,9.260866345,9.616281337,9.835211243,9.543245335,9.720929405,9.973292551
ASHGV40000068,2.895416352,2.983206099,3.140885384,3.429841178,2.784627696,2.80534976,2.855379096,2.77263483,2.805176699,2.695383575,2.700059212,2.706154355
ASHGV40000069,5.371075842,5.130770611,5.41956871,5.301567776,5.334057786,5.458809655,4.329253202,4.466232481,5.030662561,3.149238138,3.450042881,3.765509871
ASHGV40000071,3.426404954,3.367796375,3.472425776,3.562083321,3.29762685,3.422890498,2.806252485,3.434416616,2.756643424,3.368311858,2.652768305,3.154514651
ASHGV40000073,5.717528137,6.014928835,5.905658044,5.917813626,5.887935485,5.760462176,6.380218012,6.2269593,6.348290248,6.235835492,6.419018193,6.140755629
ASHGV40000074,8.852236992,8.640658426,8.370790941,8.596007753,8.596007753,8.666012657,8.614299647,8.43442736,8.353891102,8.339626527,8.186429732,8.527443956
ASHGV40000075,9.122540662,9.198967184,9.354950713,9.274237142,9.22889826,9.261042198,8.810427252,8.547391428,8.568822316,8.547391428,8.47331391,8.476021867
ASHGV40000076,6.045365532,5.958677429,6.359723748,6.250813821,6.120547084,6.041497521,5.708251944,5.891945899,6.046348048,5.515202379,5.556877463,5.34842072
ASHGV40000077,4.544464913,4.871492508,4.288228153,4.555479743,4.638099454,4.48138604,4.231393119,4.755500531,4.600948026,4.936344103,5.849464191,4.629558404
ASHGV40000078,10.18189106,10.02403696,9.8934579,10.03848125,10.0329072,10.0560396,10.49004903,10.34162236,10.18777496,10.62647495,10.65510097,10.60981582
ASHGV40000079,11.07753967,10.91943394,10.86067609,10.92580993,10.93984696,11.03667928,11.02299046,10.92367716,10.8088362,10.97380626,10.98151299,10.97380626
ASHGV40000080,5.739607663,5.676960287,6.474049083,6.074371724,6.030778628,5.993975176,5.399807878,5.623345355,5.984351113,6.018051666,5.850047939,5.676329107
ASHGV40000081,6.330935829,6.044472375,6.214080503,5.940953583,6.251780469,6.498276871,5.397770208,5.45446317,5.57942039,4.762418458,5.017796579,4.959942842
ASHGV40000083,9.070657854,8.829966361,8.970116207,8.94743275,9.012494217,8.989445184,9.069367728,9.044923286,9.160289713,8.62141699,8.669539731,8.587959353
ASHGV40000086,4.364963041,5.818278863,4.034686752,4.855225985,4.87279174,4.543825133,5.545702031,5.504622916,4.110236696,6.344531318,6.50925563,5.924154423
ASHGV40000087,11.29932138,10.4671409,10.30841051,10.62884131,10.66334222,10.73826542,11.75245973,11.78054532,11.89583099,10.94230926,10.62837833,10.98681227
ASHGV40000088,13.59065337,13.54495834,14.18660104,13.77303418,13.78142563,13.81325999,12.69809646,13.09814635,13.34908403,13.14584335,13.05292866,13.24224175
ASHGV40000089,6.763311833,6.906069514,6.870543287,6.793940225,6.821583332,6.922335098,6.912964864,6.792633758,7.000075021,7.133127748,6.949416777,7.079138342
ASHGV40000091,4.744002444,5.221512057,5.128982369,5.085104747,4.808119926,5.100025929,4.8096621,4.964522289,4.926395167,4.417510025,4.997143584,5.10147654
ASHGV40000092,3.120475297,2.796313251,2.90872147,2.919307341,2.921474724,2.945533734,3.027568115,2.931499251,2.969281452,2.841807958,2.847236529,2.854313193
ASHGV40000094,7.740929969,8.012576108,8.038062163,7.959655155,7.966340902,7.948091987,7.831865333,8.094200621,8.258274288,7.644973619,7.782769033,7.315834695
ASHGV40000095,11.1244184,10.95991095,11.1534068,10.97509792,11.03947238,11.22651968,11.03335392,11.09191304,11.09191304,11.28585239,11.3431217,11.19277784
ASHGV40000096,10.00321941,9.647796709,9.557595692,9.952078563,9.736149536,9.543054053,10.76796389,10.72194923,10.52516677,10.32888766,10.48527987,10.34911588
ASHGV40000097,10.84280502,10.22312162,10.94094933,10.34657538,10.72044078,11.00649708,9.90063031,10.20892696,10.2101489,10.68783228,10.28775814,10.7764689
ASHGV40000098,7.735025106,7.770759193,7.167547269,7.5593505,7.568956256,7.618801087,8.028095766,7.580965028,7.785122234,7.097586023,7.467923985,7.306882251
ASHGV40000100,13.38047358,13.36892845,13.44915129,13.4499046,13.39551196,13.41297998,13.31669434,13.29126569,13.49260345,12.96676997,13.04525038,12.97730125
ASHGV40000101,7.54033282,7.181657975,7.258471253,8.128387905,7.541190781,6.422360837,6.171666521,6.621860089,7.008946962,6.663868849,6.536814278,6.693661446
ASHGV40000102,2.566621669,2.651713458,2.907731154,2.704922519,2.706811997,2.727786121,2.814838826,3.329892907,2.764025773,3.017661008,3.173101631,2.663798929
ASHGV40000104,9.181450862,9.431551639,9.697825939,9.481090557,9.443629849,9.398225383,8.925795233,9.18464157,9.508814241,9.034371911,9.200264193,9.322177428
ASHGV40000105,9.155594926,9.358332258,9.399931877,9.354541194,9.317732274,9.322214298,8.814667238,8.896032158,8.970538721,8.218489468,8.288600869,8.094868077
ASHGV40000106,4.3706117,4.516122279,4.370895806,4.043300959,4.476084223,4.820282713,5.142794362,5.028436958,4.83233723,4.677279637,4.771357202,3.6289292
ASHGV40000107,13.98350755,14.37456213,14.54453236,14.13866503,14.3410488,14.55279313,13.16221067,13.34474892,13.41560441,13.61263296,13.77073452,13.34394943
ASHGV40000108,12.93619745,13.24733935,12.81432068,12.89074198,13.08568344,13.07830268,12.84984925,12.83150423,13.07768997,12.38602294,12.44245327,12.19300754
ASHGV40000111,4.388936955,4.821615432,5.115965174,4.887855242,4.628621865,4.823203624,4.754565792,4.221587193,3.675831751,4.28472888,4.265332276,3.939950368
ASHGV40000113,15.59845597,15.6766656,15.91828068,15.94008124,15.67903835,15.49201152,15.31401731,15.79152925,15.79924586,16.22563581,16.31936604,16.19718096
ASHGV40000114,17.38255263,17.27105878,17.08641749,17.24330102,17.25693592,17.25693592,17.31515636,17.23345224,17.20615691,17.1414475,17.1414475,17.11308222
ASHGV40000117,4.017108498,4.392072232,4.617717572,4.22149895,4.402257636,4.422857138,4.582504934,3.824805441,4.457886293,4.532693114,4.738944599,4.588672967
ASHGV40000119,15.81898192,15.87110962,15.81898192,15.83342553,15.80201705,15.8974977,15.0234457,15.66991371,16.15559462,15.77593394,15.68941999,15.9771836
ASHGV40000124,4.17254001,4.550231408,4.401919868,4.435043812,4.393042398,4.37732931,4.288513489,4.601496522,4.426133702,4.46497094,4.755423644,4.842723244
ASHGV40000126,8.727566908,7.93069094,7.693329784,8.086585532,8.043832865,8.2796857,8.966008536,8.912507218,8.495670491,7.986320246,8.261229822,8.222567879
ASHGV40000127,4.349903244,4.367462617,4.314090289,4.875791641,4.200626408,4.038952659,4.451947778,4.168091988,4.825674138,2.341143288,2.34575903,2.351776094
ASHGV40000128,16.36880503,16.29019761,16.16294131,16.11065125,16.34574168,16.41468011,16.42539357,16.20806201,16.24169844,16.3645098,16.29849648,16.3645098
ASHGV40000129,2.80266775,2.826210815,2.79196278,2.797495569,2.799344164,2.819864477,2.887358828,2.805420164,2.837645204,2.728921031,2.733551146,2.739586945
ASHGV40000130,12.26833057,12.01285509,12.35541786,12.13633317,12.18183346,12.33624737,12.01273249,12.11417649,12.30299207,12.58978075,12.57474481,12.62780539
ASHGV40000131,10.68088317,10.33659036,10.11196219,9.405366876,10.54279924,11.17327035,9.903137641,9.71246144,9.508768946,12.03750974,11.70076627,12.4180909
ASHGV40000133,12.77895648,12.79292295,12.26724298,11.93737624,12.69256577,13.16537433,13.22712758,13.0850637,12.97526378,12.85395683,12.98449033,12.77974345
ASHGV40000135,2.778813976,2.777443682,2.668199949,2.734869662,2.7367145,2.757193102,3.713181984,2.756984217,2.789143756,2.680640577,2.685261281,2.691284812
ASHGV40000136,2.663136378,2.677419645,2.676449167,2.671963789,2.673805596,2.694250556,2.761435291,2.679797516,2.711904222,2.603579297,2.60819241,2.614206045
ASHGV40000137,2.713864482,2.809131893,2.783882353,2.761895065,2.763791642,2.784844583,2.85452743,2.770461956,2.803523434,2.691977202,2.696727496,2.702919962
ASHGV40000138,5.224893273,4.696080589,4.610130401,4.648905938,4.703032558,5.174703703,5.068839816,5.37805013,5.219119289,4.716050307,4.555376553,4.816602405
ASHGV40000139,3.835906771,3.861685486,3.851300396,3.873627822,3.571878275,4.163535311,3.986558656,3.202744973,3.655064206,3.020416611,3.150160334,3.019535836
ASHGV40000140,4.844305062,4.572948069,4.645382562,4.439690802,4.712286269,5.024199574,4.14411669,4.440420493,3.901451671,4.274615601,4.410833519,4.213577818
ASHGV40000141,11.85543377,11.55206797,11.57323364,11.6156484,11.60775524,11.71223078,11.54778419,11.69434225,11.46962438,11.77782531,11.69502717,11.89847352
ASHGV40000142,5.745426355,5.939924498,6.097552461,5.696074531,6.059855383,6.012088919,5.91796903,5.734729602,5.960647481,5.857540714,5.924230361,6.187026777
ASHGV40000143,9.222146555,9.446346285,9.041776005,9.445402525,9.211416615,9.091537087,9.716250348,9.43051191,9.265857278,9.263359211,9.640314465,8.708909241
ASHGV40000144,5.063727666,5.318507524,5.288530127,5.679649296,5.292924152,4.848315997,4.957427039,4.928524733,5.855427084,4.484426361,4.488843754,4.457446318
ASHGV40000145,3.206125044,3.220483845,3.219508235,2.561267584,3.520755454,3.620494553,2.584898426,2.503228978,2.53534814,2.426981188,2.431596091,2.437612059
ASHGV40000146,5.535447631,5.609486077,5.66756031,5.555918825,5.749720095,5.600392873,4.887398706,4.756628302,5.466043523,4.389978751,4.41901525,4.210759554
ASHGV40000150,3.86961819,3.934355817,3.863227082,4.224324366,3.676385626,3.832828027,3.45704654,3.696418003,2.507094357,2.398698709,2.403314833,2.409332395
ASHGV40000151,6.855616659,6.542937221,6.543785317,6.73902972,6.622899904,6.570664123,6.805247824,7.060940105,7.384026066,6.899543792,6.872764554,6.927060953
ASHGV40000152,8.006354271,7.774802922,7.566173124,8.004155702,7.852232318,7.66911435,7.063416959,7.134795063,7.369963162,6.884846105,7.150855282,6.809014471
ASHGV40000153,4.760825288,4.997150504,5.535993856,5.110033234,5.091859187,5.148341077,5.520360118,7.650342465,5.119414465,5.53627522,5.62540161,5.724738619
ASHGV40000154,5.74835767,5.778806467,5.78285335,5.91969408,5.830541992,5.613637607,5.605578252,5.603103752,5.896207654,5.217832774,5.121832702,5.189637024
ASHGV40000155,10.05060905,10.0464762,9.674703204,9.879017437,9.960498868,9.973523352,9.659591574,9.782403536,9.986365096,9.924761329,10.05418974,9.715890043
ASHGV40000156,3.301417718,3.29490968,3.198553387,2.725603476,3.266344223,3.812110451,2.812121542,2.730423036,3.448844121,4.989714264,2.658764663,2.664782772
ASHGV40000157,4.41352039,4.262366882,4.349942591,4.487035578,4.355069044,4.262548427,4.347769178,4.141877122,4.51879926,4.004337316,4.128931627,4.022478194
ASHGV40000158,10.34754481,10.82783978,10.68896639,10.68133052,10.65720355,10.63133245,9.913044005,10.03707619,10.40286211,10.27181469,10.19701833,10.43498073
ASHGV40000159,8.122825477,8.074958014,8.038608752,7.981483475,8.106017959,8.158283602,7.975448027,7.854253785,7.782262766,7.804068803,7.609790836,8.421720658
ASHGV40000160,8.182548968,8.38078955,8.678558302,8.494790667,8.326452711,8.419578872,7.876078018,7.954573723,8.121315032,8.314444126,8.238932144,8.190785057
ASHGV40000161,8.906701377,8.806683394,8.596450243,8.942034806,8.768140398,8.674352778,8.32151323,8.619684606,8.83962543,8.768883934,8.83734233,8.796233434
ASHGV40000164,8.210652691,8.804188754,8.391252972,8.513865192,8.401696007,8.355584947,7.870703969,8.327151469,8.518496475,8.174519689,8.214701631,8.406037158
ASHGV40000166,12.07393755,11.85160532,12.20171361,11.66234834,12.04395592,12.41863588,12.03977613,11.81140101,11.69529874,12.12377688,12.02018418,12.09904134
ASHGV40000167,11.16325256,11.12807921,11.54280385,10.88430774,11.27767421,11.64293174,11.4976224,11.20283148,10.93334221,11.74929337,11.81537555,11.74929337
ASHGV40000169,3.109269818,2.966507701,2.859407573,2.953569269,2.955681479,2.979128043,3.058645968,2.965022631,3.001843048,2.877614517,2.882904898,2.889801419
ASHGV40000170,7.947342591,7.66984124,7.858621733,7.861868309,7.898086331,7.830403115,7.175675588,7.479541361,7.706069065,7.396332393,7.384457362,7.292472843
ASHGV40000171,6.771688384,5.77639148,6.46333332,6.199218543,6.395658966,6.556518915,6.842522515,6.490234737,6.339925638,6.196090824,6.344455718,5.727928915
ASHGV40000172,8.989104775,9.487594552,9.851544366,9.63222516,9.317418856,9.092220587,9.241148627,9.977108179,10.24623094,11.5351297,11.24773224,11.39957602
ASHGV40000173,6.093276352,5.351485013,6.618493685,5.99982546,6.069382522,6.066379124,5.571901836,7.653335124,5.828254841,5.44836736,5.640011635,5.051505815
ASHGV40000174,9.774681205,9.799994806,9.757489478,9.719296867,9.803757121,9.875934859,9.591258382,9.490512657,9.753881713,9.364543681,9.342578797,9.513493963
ASHGV40000176,10.79722434,10.84108834,10.86105802,10.35095334,10.90460665,11.27957662,10.66283316,10.62840754,10.6401555,11.31688435,11.13623952,11.04939817
ASHGV40000177,5.553419366,5.584915752,5.615185547,5.656409977,5.723231441,5.545618112,5.063923451,4.774543326,5.265935156,5.292956004,4.830878076,4.781862649
ASHGV40000178,11.04362168,11.12322268,11.17609221,11.23491053,11.08650472,11.0889039,10.95518886,11.00815907,11.23997429,10.90524587,10.93060759,11.10890262
ASHGV40000179,2.852909446,2.794271839,2.949879286,2.850919367,2.852907093,2.874971821,2.948811968,2.860706373,2.895356759,2.778449703,2.783428293,2.789918364
ASHGV40000180,9.004946426,8.599389331,7.965308237,8.374913763,8.606697026,8.594468798,9.137331252,9.400538134,9.423193648,8.63607575,8.550671828,8.560246563
ASHGV40000181,2.863845115,2.753472171,2.742588009,2.778048017,2.779997147,2.801633447,2.873713241,2.787318382,2.821295966,2.706658879,2.711540801,2.717904854
ASHGV40000182,6.131706493,6.052626671,6.110023691,6.106564214,6.117879755,6.087316018,6.231177772,6.038997274,5.956627428,5.820157661,5.729108404,5.959303236
ASHGV40000184,8.392881298,8.295979864,8.579119872,8.038654494,8.513725181,8.755051666,8.690404166,8.354637805,8.562735676,8.629803663,8.602602251,8.579062621
ASHGV40000185,2.615641187,2.977824169,3.44268597,2.984546456,2.986409254,3.007087223,3.106980448,3.024412252,3.056884876,2.94732538,2.951991067,5.14458544
ASHGV40000186,4.785714405,4.903696514,4.916061106,4.706594989,4.829365536,5.167919614,4.544521843,4.394602666,4.5576343,4.102088159,4.272907368,4.243533339
ASHGV40000187,3.502139589,3.073314266,3.425777612,2.999275361,3.001135787,3.95132636,4.576613396,3.998800154,4.139458681,3.594614142,3.966437139,3.586856503
ASHGV40000188,4.779550806,4.498302035,5.600646994,4.535030089,4.865617745,5.347592046,4.747453193,5.184011177,4.378132436,6.183558108,6.273457185,6.772342661
ASHGV40000189,3.664210113,3.920841871,3.590764998,3.426249269,3.428095228,4.175049274,3.580360468,4.765128407,3.530717751,5.577936262,4.43768773,4.434091525
ASHGV40000191,6.937720604,6.9500671,7.003210252,6.893426833,7.025575754,6.908399389,7.790313048,7.489962263,7.182008658,7.738144782,8.006516029,7.970483473
ASHGV40000192,5.300195616,5.430433685,5.366827613,5.302846711,5.392568078,5.55086644,5.257429143,5.17194655,5.453590683,5.106748799,5.203685215,5.378101069
ASHGV40000193,7.610426812,7.068661173,6.942680445,7.059854294,7.27358846,7.235380022,6.985503894,7.572633482,7.381627803,7.994735581,7.526042098,8.112311894
ASHGV40000196,5.463818843,5.823997025,6.008916042,5.91223717,5.656133593,5.758419223,5.905557995,5.956878324,6.002614418,6.417394415,6.386062543,6.249218376
ASHGV40000197,14.38113616,14.45325598,14.03466399,14.36249566,14.25347328,14.321866,14.287639,14.14740706,14.30300397,13.62626194,13.78432937,13.46275155
ASHGV40000198,5.617636979,5.528473312,6.084406797,5.998420472,5.786741184,5.467843617,5.762102765,6.01019291,6.065940671,5.657094705,6.030216755,6.00571804
ASHGV40000199,3.202505098,3.199245385,3.188138338,3.402507047,2.742706192,3.458727986,2.799845593,2.718158748,2.750284752,3.113018782,2.646510602,3.041449173
ASHGV40000200,10.13229737,10.00763136,9.862378443,10.05778112,10.08815002,9.859277017,9.825930417,9.914935691,9.961440626,9.728961489,9.685734422,9.60504668
ASHGV40000201,10.20569007,10.16386582,9.814177368,10.16041033,10.09437378,10.00374277,9.672482573,9.390314369,9.072010442,9.341705076,9.106335927,9.643655879
ASHGV40000202,3.679110992,3.813954888,4.169636611,4.203428991,3.623804779,3.644339388,3.764376362,3.682380613,3.714628104,5.397250714,4.73086505,5.192273674
ASHGV40000203,5.567044109,5.593453214,5.9969657,5.84801324,5.797317627,5.476089101,5.480735134,5.76785889,5.944674479,6.057059378,5.940807779,5.766933575
ASHGV40000205,4.570898007,4.435427472,4.5692771,4.223900294,4.68058271,4.753654,4.412656335,3.649666313,4.227570856,3.536061107,3.815299933,3.826827966
ASHGV40000209,2.663136378,2.677419645,2.676449167,2.671963789,2.673805596,2.694250556,2.761435291,2.679797516,2.711904222,2.603579297,2.60819241,2.614206045
ASHGV40000210,9.035827227,9.69373345,8.517137803,9.246723097,8.917710458,8.785733957,10.72449923,12.83878423,13.79163763,13.6340934,14.27464936,11.80389327
ASHGV40000214,3.757380401,3.91972172,4.516517631,3.648314015,3.650219951,4.690635881,3.740037891,4.221453514,3.688782241,3.57668564,4.089162148,4.413593759
ASHGV40000215,5.53060676,5.554962534,5.476981601,5.576809121,5.35499416,5.551666002,5.623930899,5.33928226,4.966741191,5.788579053,5.600676677,5.380793387
ASHGV40000216,4.859354953,4.811801149,4.517564545,4.705850622,5.033830226,4.535651907,4.259984033,4.55961898,4.339865637,3.984954802,4.070967123,3.644685934
ASHGV40000217,16.32962135,16.2464615,16.11465066,16.23090122,16.27063054,16.21480316,16.25285072,16.22963131,16.28417799,16.058209,16.06862527,16.14577355
ASHGV40000219,6.006287878,5.771052068,6.127929003,6.111156409,6.005713991,5.761769774,5.064794828,5.09051955,5.90104361,5.118517879,5.379918582,5.47644
ASHGV40000220,12.23321678,12.31973901,12.16566251,12.22425464,12.24283531,12.27755366,12.4296172,12.58543373,12.69834427,12.23055434,12.30468803,12.30623566
ASHGV40000222,10.51834216,9.125989225,9.238760181,8.971201784,9.728539083,10.19408075,8.999082701,8.68257864,8.283705379,10.45144613,9.713366746,10.94236563
ASHGV40000223,2.797406418,2.806964456,2.877311851,2.81613031,2.818013615,2.838919222,2.907996697,2.824519532,2.857349638,2.746584033,2.751301084,2.757450213
ASHGV40000224,5.793419804,6.042695404,6.169181897,6.582587874,6.026741736,5.464923293,4.259730941,3.588289348,2.626077276,7.003022026,7.487727794,6.669767021
ASHGV40000228,13.54396134,13.68357751,14.25707094,14.15653887,13.73633993,13.49861276,13.56544851,14.10799346,13.66245296,15.04473938,15.05043471,15.02018459
ASHGV40000229,3.985861182,4.34492066,4.370300525,3.86145622,4.534053423,4.276971629,4.388992235,4.294210234,4.077104867,3.422070118,4.227975414,3.389413476
